"","ID","AIClogistic","BIClogistic","AICgompertz","BICgompertz","AICbaranyi","BICbaranyi","AICbuchanan","BICbuchanan"
"155","Aerobic Mesophilic._4_Salted Chicken Breast","-12.2009080568768","-12.4172674606556","-8.06572736655852","-8.33617662128195","-23.7653654070356","-24.035814661759","NA","NA"
"156","Aerobic Mesophilic._7_Salted Chicken Breast","NA","NA","-27.4684921727602","-24.6437453854526","NA","NA","NA","NA"
"157","Aerobic Mesophilic._10_Salted Chicken Breast","-13.0828710402325","-11.1432444410805","-17.3200389697697","-14.8955057208297","-14.9287371759272","-12.5042039269872","-11.1919799169014","-8.76744666796141"
"158","Aerobic Mesophilic._15_Salted Chicken Breast","-6.50869761270462","-6.19093144598527","-10.4063951257049","-10.0091874173057","-5.28506830944022","-4.88786060104104","NA","NA"
"159","Aerobic Mesophilic._20_Salted Chicken Breast","-7.4313965073569","-7.11363034063756","-9.71707818000066","-9.31987047160148","-6.61486149602111","-6.21765378762193","-4.70544880798909","-4.30824109958991"
"160","Aerobic Mesophilic._2_Cooked Chicken Breast","NA","NA","-5.53016324331436","-4.54404035663326","-7.20656045994595","-6.22043757326486","NA","NA"
"161","Aerobic Mesophilic._4_Cooked Chicken Breast","5.98207295531325","5.14911083222547","8.89279462887736","7.85159197501763","5.17601373941474","4.13481108555501","3.05486413549106","2.01366148163133"
"162","Aerobic Mesophilic._7_Cooked Chicken Breast","-4.00987528671352","-2.41829419552004","-4.56903061753819","-2.57955425354633","-3.57328763024563","-1.58381126625378","-3.11119920157145","-1.1217228375796"
"163","Aerobic Mesophilic._10_Cooked Chicken Breast","0.594007457531476","2.18558854872496","-1.75292878965077","0.236547574341085","-0.750987509805402","1.23848885418645","-2.58236413272433","-0.592887768732478"
"164","Aerobic Mesophilic._15_Cooked Chicken Breast","-10.7370578647081","-9.94815955536322","-13.8381350024433","-12.8520121157622","-8.87173679451117","-7.88561390783007","-1.42205560432962","-0.435932717648518"
"165","Aerobic Mesophilic._20_Cooked Chicken Breast","-20.5492068541043","-19.3388664821282","-15.3681268359909","-13.8552013710207","-24.8471856765597","-23.3342602115895","NA","NA"
"166","Spoilage_8_Vacuum Beef Striploins","5.10829218718665","4.8919327834079","-6.18574541764872","-6.45619467237215","-2.94987518700062","-3.22032444172406","6.17490168208128","5.90445242735784"
"167","Escherichia coli_8_Vacuum Beef Striploins","-11.069027411389","-11.9019895344768","-11.6225488100665","-12.6637514639262","-10.6051928203609","-11.6463954742206","-11.289614503682","-12.3308171575417"
"168","Salmonella Typhimurium_8_Vacuum Beef Striploins","0.173407852984286","-0.0429515507944611","NA","NA","-10.8065847525159","-11.0770340072393","NA","NA"
"169","Spoilage_10_Vacuum Beef Striploins","-17.0509847000024","-17.8839468230902","-15.7685040017622","-16.8097066556219","-13.0308995356334","-14.0721021894931","-1.52645792394829","-2.56766057780801"
"170","Escherichia coli_10_Vacuum Beef Striploins","-0.527493561446937","-1.36045568453472","-11.2296578909693","-12.2708605448291","-9.61814281145654","-10.6593454653163","-6.43698614838177","-7.47818880224149"
